Time	Measurement	Estimate
0	2.78013	2.78013
0.001	3.10988	2.93518
0.002	3.05257	2.98228
0.003	4.19116	3.43621
0.004	3.00025	3.27696
0.005	4.00605	3.54026
0.006	2.08246	3.01627
0.007	3.63532	3.23835
0.008	2.07111	2.81994
0.009	2.20099	2.59815
0.01	2.35269	2.5102
0.011	3.92949	3.01869
0.012	2.4678	2.82133
0.013	2.77725	2.80553
0.014	1.64605	2.39014
0.015	2.093	2.28369
0.016	2.0845	2.21233
0.017	3.115	2.53572
0.018	3.15989	2.75933
0.019	2.62125	2.70986
0.02	3.14184	2.86462
0.021	1.75253	2.46621
0.022	1.87687	2.25507
0.023	3.26325	2.61626
0.024	3.17647	2.81696
0.025	3.28101	2.98321
0.026	2.54615	2.82663
0.027	4.68657	3.49297
0.028	2.04155	2.97299
0.029	0.624399	2.13159
0.03	2.59563	2.29783
0.031	2.21971	2.26985
0.032	2.17815	2.237
0.033	3.33604	2.63074
0.034	2.25124	2.49478
0.035	3.50213	2.85567
0.036	1.69745	2.44073
0.037	1.82474	2.22005
0.038	1.81942	2.07652
0.039	3.62671	2.63189
0.04	2.62142	2.62814
0.041	2.52456	2.59103
0.042	2.38144	2.51595
0.043	2.13873	2.38081
0.044	2.15479	2.29983
0.045	4.19413	2.97848
0.046	1.43504	2.42553
0.047	2.9028	2.59651
0.048	2.95644	2.72546
0.049	2.31547	2.57858
0.05	1.80225	2.30045
0.051	2.58937	2.40396
0.052	3.84993	2.92199
0.053	4.14852	3.3614
0.054	2.23999	2.95965
0.055	0.97191	2.24753
0.056	3.2958	2.62308
0.057	4.17845	3.1803
0.058	2.98158	3.10911
0.059	4.32538	3.54485
0.06	2.30905	3.10211
0.061	2.88719	3.02512
0.062	3.22755	3.09764
0.063	3.70707	3.31597
0.064	0.630668	2.35394
0.065	3.93773	2.92135
0.066	1.26318	2.3273
0.067	3.80028	2.855
0.068	1.16849	2.2508
0.069	2.9822	2.51283
0.07	3.35635	2.81503
0.071	1.85413	2.47078
0.072	3.01026	2.66405
0.073	3.61155	3.0035
0.074	2.54511	2.83928
0.075	2.32372	2.65458
0.076	3.17631	2.84149
0.077	1.76956	2.45746
0.078	2.88932	2.61218
0.079	1.75325	2.30446
0.08	1.54082	2.03088
0.081	3.35915	2.50674
0.082	2.59798	2.53943
0.083	3.68577	2.95012
0.084	2.7535	2.87968
0.085	1.48292	2.37928
0.086	3.48908	2.77687
0.087	2.41345	2.64667
0.088	2.18432	2.48103
0.089	2.03259	2.32037
0.09	1.01562	1.85293
0.091	3.25935	2.35679
0.092	1.76056	2.14319
0.093	4.13311	2.85609
0.094	2.78541	2.83077
0.095	3.83586	3.19085
0.096	3.55862	3.32261
0.097	4.24651	3.6536
0.098	3.04294	3.43483
0.099	3.54002	3.47251
0.1	2.44413	3.10409
0.101	1.76792	2.6254
0.102	2.81041	2.69168
0.103	2.23349	2.52753
0.104	1.74743	2.24805
0.105	3.82598	2.81336
0.106	3.45063	3.04167
0.107	2.6151	2.88885
0.108	4.30275	3.39539
0.109	2.47834	3.06685
0.11	3.4068	3.18864
0.111	4.4461	3.63913
0.112	5.9181	4.45559
0.113	4.16773	4.35246
0.114	2.82577	3.80551
0.115	3.51662	3.70201
0.116	4.66214	4.04599
0.117	4.20326	4.10233
0.118	4.80337	4.35348
0.119	1.38042	3.28836
0.12	3.23275	3.26844
0.121	4.19526	3.60048
0.122	5.56911	4.30576
0.123	5.17319	4.61652
0.124	4.1952	4.46558
0.125	4.15998	4.3561
0.126	3.92515	4.20171
0.127	3.80782	4.06059
0.128	4.42892	4.19255
0.129	3.25223	3.85567
0.13	3.58359	3.7582
0.131	4.48428	4.01832
0.132	4.74286	4.2779
0.133	4.50084	4.35777
0.134	4.2513	4.31962
0.135	3.79965	4.13334
0.136	4.38249	4.2226
0.137	3.16639	3.8442
0.138	3.68065	3.78561
0.139	4.34671	3.98663
0.14	4.48687	4.16585
0.141	4.71036	4.36092
0.142	4.18545	4.29806
0.143	4.58839	4.40207
0.144	6.1623	5.03269
0.145	3.7211	4.5628
0.146	3.45561	4.16614
0.147	5.09594	4.49925
0.148	3.41811	4.11192
0.149	4.29466	4.17739
0.15	3.13871	3.80528
0.151	6.36807	4.72341
0.152	4.9166	4.79262
0.153	4.98796	4.8626
0.154	4.57262	4.75872
0.155	1.79481	3.69687
0.156	5.20904	4.23862
0.157	5.14911	4.56481
0.158	4.88946	4.68112
0.159	4.28382	4.53878
0.16	4.90861	4.67127
0.161	4.2426	4.5177
0.162	4.03764	4.34572
0.163	5.07632	4.60746
0.164	3.83161	4.32951
0.165	4.98806	4.56544
0.166	5.18087	4.78592
0.167	6.28698	5.32369
0.168	6.21663	5.64359
0.169	6.34746	5.89575
0.17	6.74973	6.2017
0.171	6.00319	6.13058
0.172	7.38112	6.5786
0.173	4.67406	5.89628
0.174	5.81069	5.86562
0.175	5.28968	5.65928
0.176	4.64594	5.29625
0.177	6.34543	5.67212
0.178	4.9873	5.42678
0.179	7.04274	6.00571
0.18	4.64934	5.51978
0.181	4.74897	5.24363
0.182	6.80318	5.80235
0.183	6.22156	5.95254
0.184	4.42417	5.40499
0.185	4.86124	5.21019
0.186	6.59291	5.70556
0.187	6.1797	5.87542
0.188	6.93866	6.25634
0.189	7.35274	6.64913
0.19	6.79226	6.70041
0.191	6.16898	6.51002
0.192	6.54973	6.52425
0.193	6.21623	6.4139
0.194	7.04874	6.64134
0.195	7.52509	6.95795
0.196	6.04	6.62908
0.197	8.28396	7.22196
0.198	6.92399	7.11521
0.199	7.18926	7.14174
0.2	6.17855	6.79667
0.201	6.85815	6.81869
0.202	8.04706	7.25877
0.203	7.39812	7.30869
0.204	9.13099	7.96155
0.205	6.42581	7.41136
0.206	6.3751	7.04011
0.207	7.49644	7.2036
0.208	8.16284	7.54725
0.209	6.59815	7.20723
0.21	7.76922	7.40857
0.211	9.79309	8.26284
0.212	8.07511	8.19559
0.213	6.60683	7.6264
0.214	8.14969	7.81387
0.215	7.73898	7.78704
0.216	7.83736	7.80507
0.217	8.12434	7.91945
0.218	7.11353	7.63072
0.219	8.49238	7.93942
0.22	8.23973	8.04701
0.221	9.08574	8.41914
0.222	8.50077	8.44838
0.223	8.85422	8.59378
0.224	9.50542	8.92038
0.225	9.0027	8.94987
0.226	9.78262	9.24821
0.227	10.1132	9.55809
0.228	8.31824	9.11391
0.229	9.41714	9.22254
0.23	8.98015	9.13571
0.231	6.60967	8.23073
0.232	8.69687	8.39773
0.233	8.73751	8.51946
0.234	10.0417	9.06482
0.235	10.1622	9.45797
0.236	10.3676	9.78386
0.237	10.9191	10.1906
0.238	9.79909	10.0503
0.239	9.71378	9.92975
0.24	10.7778	10.2336
0.241	9.90251	10.115
0.242	9.66844	9.95499
0.243	10.448	10.1316
0.244	10.4943	10.2615
0.245	9.68452	10.0548
0.246	10.9476	10.3747
0.247	11.7396	10.8637
0.248	10.8973	10.8757
0.249	9.92508	10.5351
0.25	8.12914	9.67318
0.251	10.9186	10.1194
0.252	12.9179	11.122
